Anna geht nich zur Schule.,Anna does not go to school.
Anna ist fünf Jahre alt.,Anna is five years old.
Die Familie Clark wohnt in einem Vorort von New York.,The Clark family lives in a suburb of New York.
Die Knaben heißen Karl und Willhelm.,The boys are named Karl and Willhelm.
Die Knaben und die Mädchen sind dort.,The boys and the girls are there.
Er ist Amerikaner.,He is an American.
Er ist Anwalt.,He is a lawyer.
Er ist kein Deutscher.,He is not a German.
Er ist vierzig Jahre alt.,He is forty years old.
Er kauft Hüte.,He is buying hats.
Er wohnt aber nicht in New York.,"However, he does not live in New York."
Er wohnt nicht weit von hier.,He does not live far from here.
Frau C. ist Hausfrau.,Mrs. C. is a housewife.
Gehen die Kinder zur Schule?,Are the children going to school?
Gehen Sie nicht in die Stadt?,Are you not going to the city?
Herr B. ist Arzt.,Mr. B. is a doctor.
"Herr Braun, Sie gehen zu früh.","Mr. Braun, you are going too early."
Herr C. ist Geschäftsmann.,Mr. C. is a businessman.
Herr Clark ist Geschäftsmann.,Mr. Clark is a businessman.
Herr Clark ist verheiratet.,Mr. Clark is married.
Herr K. ist Student.,Mr. K. is a student.
"Herr und Frau Clark haben vier Kinder, zwei Jungen und zwie Mädchen.","Mr. And Mrs. Clark have four children, two boys and two girls."
Herr und Frau Clark haben vier Kinder.,Mr. And Mrs. Clark have four children.
Ich bin Lehrer.,I am a teacher.
Ich höre Musik.,I hear music.
Ich kaufe Bücher.,I am buying books.
Ich trinke Milch.,I am drinking milk.
Ist er ein Deutscher?,Is he German?
"Ja, ich lerne Englisch.","Yes, I am learning English."
"Ja, sie singen sehr schön.","Yes, the singing is nice."
Karl ist zwölf Jahre alt.,Karl is twelve years old.
"Karl, du gehst zu schnell.","Karl, you are going too fast."
"Karl, Willhelm und Marie gehen zur Schule.","Karl, Willhelm and Marie go to school."
Keine Knaben und keine Mädchen sind dort.,No boys and girls are there.
"Kinder, ihr geht zu langsam.","Children, you are going too slowly."
Kommen die Mädchen heute?,Is the girl coming today?
"Lernst du Englisch, Anna?","Are you learning English, Anna?"
Marie ist acht Jahre alt.,Marie is eight years old.
"Nein, er ist kein Deutscher.","No, he is not German."
"Nein, er wohnt nicht in New York.","No, he does not live in New York."
"Nein, sie kommen nich heute.","No, she is not coming today."
"Nein, wir spielen heute Tennis.","No, we are playing tennis today."
Robert Clark ist Geschäftsmann.,Robert Clark is a businessman.
Sein Büro ist in New York.,His office is in New York.
Seine Frau Helene ist vierunddreißig Jahre alt.,His wife Helen is thirty-four years old.
Sie geht nicht zur Schule.,She does not go to school.
Sie heißt Helene.,Her name is Helene.
Sie ist noch zu jung für die Schule.,She is still too young for school.
Sie ist vierunddreißig Jahre alt.,She is thirty-four years old.
Sie stehen dort.,It is standing there.
Sie zwei Mädchen heißen Marie und Anna.,The two daughters are named Marie and Anna.
Singen die Mädchen und die Jungen schön?,Is the singing of the boys and girls nice?
"Spielt ihr heute Ball, Kinder?","Are you playing ball today, children?"
Was ist Herr Clark von Beruf?,What is Mr. Clark's profession?
"Was kaufen Sie, Fräulein Braun?","What are you buying, Miss Braun?"
Was kauft Herr Braun?,What is Mr. Braun buying?
Was sind Sie von Beruf?,What are you by profession?
"Was trinkst du, Fritz?","What are you drinking, Fritz?"
Wer spielt?,Who is playing?
Wie alt ist der Geschäftsmann?,How old is the businessman?
Wie alt ist sie?,How old is she?
Wie alt sind sie?,How old are they?
Wie heißen die zwei Jungen?,What are their two sons named?
Wie heißen sie zwei Mädchen?,What are the two daughters named?
Wie heißt seine Frau?,What is his wife's name?
Wie viele Kinder haben Herr und Frau Clark?,How many children do Mr. And Mrs. Clark have?
Willhelm ist zehn Jahre alt.,Willhelm is ten years old.
Wir gehen zur Schule.,We go to school.
Wo ist sein Büro?,Where is his office?
Wo stehen die Stühle?,Where is the chair standing?
Wo wohnt der Geschäftsmann?,Where does the businessman live?
Wohin gehen sie?,Where are you going?
Wohnt er in New York?,Does he live in New York?
